section_data_set_database_id,gene_name,gene_acronym,gene_entrez id,gene_database id,probe_name,probe_database_id,energy_file_name,reference_space_database_id,reference_space_name,annotation_file_name,atlas_file_name,classifications
100046580,integrin alpha V,Itgav,16410,16183,RP_080313_03_C03,80894401,100046580_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047168,T cell lymphoma invasion and metastasis 2,Tiam2,24001,23752,RP_080324_01_H05,80924151,100047168_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100053177,low density lipoprotein receptor-related protein 6,Lrp6,16974,16744,RP_071211_02_F03,79708474,100053177_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway
100047498,"sodium channel, type IV, beta",Scn4b,399548,124782,RP_080630_02_B03,81094429,100047498_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Ion channel activity/Sodium channel
100047596,roundabout homolog 2 (Drosophila),Robo2,268902,92611,RP_080623_01_D12,1001218,100047596_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046298,5-hydroxytryptamine (serotonin) receptor 3A,Htr3a,15561,15336,RP_080225_04_E01,80753257,100046298_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100046264,FBJ osteosarcoma oncogene,Fos,14281,14058,RP_080110_04_G12,80637818,100046264_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Transcription factor/Huntington disease/PDGF signaling pathway
100047793,"catenin (cadherin associated protein), beta 1",Ctnnb1,12387,12172,RP_081002_01_B07,1002707,100047793_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway
100046021,isochorismatase domain containing 1,Isoc1,66307,42150,RP_071217_03_H04,80256116,100046021_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100049480,hairy and enhancer of split 7 (Drosophila),Hes7,84653,58851,RP_081002_02_D09,1002641,100049480_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100046102,"glutamate receptor, ionotropic, delta 1",Grid1,14803,14579,RP_080225_04_D01,80753209,100046102_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Ligand-gated ion channel activity
100046532,CD59a antigen,Cd59a,12509,12294,RP_080310_04_A09,80794322,100046532_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046425,a disintegrin and metallopeptidase domain 17,Adam17,11491,11279,RP_080306_03_C06,80792502,100046425_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Alzheimer disease presenilin pathway/Alzheimer disease amyloid secretase pathway/Notch signaling pathway
100047201,"serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9",Serpina9,71907,47748,RP_080331_04_D03,80954661,100047201_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047608,porcupine homolog (Drosophila),Porcn,53627,32945,RP_080623_03_B03,1001376,100047608_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042476,CART prepropeptide,Cartpt,27220,26965,RP_071211_03_E01,79720882,100042476_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100047063,"serine protease inhibitor, Kunitz type 2",Spint2,20733,20495,RP_080609_01_E10,81004895,100047063_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046941,growth differentiation factor 2,Gdf2,12165,11951,RP_080327_03_F06,80931429,100046941_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100046402,early B cell factor 4,Ebf4,228598,86747,RP_080228_03_F08,80754475,100046402_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100045987,plexin A2,Plxna2,18845,18609,RP_080218_01_F03,80690004,100045987_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100049566,"transforming growth factor, beta receptor III",Tgfbr3,21814,21573,RP_080701_01_H05,81095845,100049566_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042497,cadherin 10,Cdh10,320873,107808,RP_071211_04_G12,79721406,100042497_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/G-protein coupled receptor/Wnt signaling pathway/Cadherin signaling pathway
100046263,contactin associated protein-like 4,Cntnap4,170571,81891,RP_080108_02_G11,80571429,100046263_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process
100049534,macrophage stimulating 1 receptor (c-met-related tyrosine kinase),Mst1r,19882,19645,RP_081002_02_F02,1002658,100049534_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046342,cadherin 11,Cdh11,12552,12337,RP_080122_01_G06,79891557,100046342_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/G-protein coupled receptor/Wnt signaling pathway/Cadherin signaling pathway
100046099,G protein-coupled receptor 26,Gpr26,233919,87765,RP_080225_04_A07,80753089,100046099_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,G-protein coupled receptor
100054366,pre B cell leukemia homeobox 2,Pbx2,18515,18281,RP_071126_03_F10,79537405,100054366_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100045968,colony stimulating factor 1 receptor,Csf1r,12978,12761,RP_080312_01_C03,80887159,100045968_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Stress response
100047278,whirlin,Whrn,73750,49591,RP_080625_03_C02,1002140,100047278_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100045851,syntaxin 3,Stx3,20908,20670,RP_080110_01_D12,80636522,100045851_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Neurotransmitter secretion
100047693,clusterin,Clu,12759,12543,RP_080916_03_E05,1002306,100047693_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042472,"calcium channel, voltage-dependent, T type, alpha 1G subunit",Cacna1g,12291,12076,RP_071211_01_C10,79707990,100042472_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Neurotransmitter secretion/Calcium channel
100047021,"dishevelled 3, dsh homolog (Drosophila)",Dvl3,13544,13323,RP_080610_02_E01,81006755,100047021_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Alzheimer disease presenilin pathway/Wnt signaling pathway
100046515,N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4,Ndst4,64580,41177,RP_080317_01_G08,80921043,100046515_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047200,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",Sema4c,20353,20116,RP_080331_04_D01,80954653,100047200_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100049490,frizzled homolog 10 (Drosophila),Fzd10,93897,60546,RP_081002_02_C08,1002628,100049490_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/G-protein coupled receptor/Wnt signaling pathway/Cadherin signaling pathway
100047166,transforming growth factor alpha,Tgfa,21802,21561,RP_080324_01_G07,80924111,100047166_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,EGF receptor signaling pathway
100046215,B cell leukemia/lymphoma 11B,Bcl11b,58208,37240,RP_071217_04_H12,80256528,100046215_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100045915,heat shock protein 8,Hspb8,80888,56658,RP_071217_02_B08,80255464,100045915_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Neurological system process
100045862,recombination signal binding protein for immunoglobulin kappa J region,Rbpj,19664,19427,RP_080215_03_C08,80655833,100045862_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Transcription factor/Notch signaling pathway
100054364,BarH-like homeobox 2,Barx2,12023,11809,RP_071126_04_B05,79537577,100054364_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100051877,integrin beta 8,Itgb8,320910,107845,RP_081016_03_B02,1002736,100051877_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047555,neuregulin 3,Nrg3,18183,17950,RP_080701_01_C03,81095597,100047555_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046953,unc-5 homolog D (C. elegans),Unc5d,210801,84240,RP_080402_01_E09,80955117,100046953_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100045818,fibrinogen-like protein 1,Fgl1,234199,87798,RP_080102_01_C12,80258192,100045818_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046077,FXYD domain-containing ion transport regulator 6,Fxyd6,59095,37655,RP_080219_01_E09,80691472,100046077_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Ion channel activity/Anion channel
100047585,apoptosis-associated tyrosine kinase,Aatk,11302,11138,RP_080619_04_D03,1001114,100047585_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100045916,SPARC related modular calcium binding 2,Smoc2,64074,40707,RP_071219_02_B04,80256972,100045916_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047726,angiopoietin-like 6,Angptl6,70726,46567,RP_081002_01_C07,1002719,100047726_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046514,c-mer proto-oncogene tyrosine kinase,Mertk,17289,17058,RP_080317_01_A06,80920747,100046514_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100051883,"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3",Slc6a3,13162,12942,RP_080916_03_C11,1002289,100051883_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Parkinson disease
100046724,roundabout homolog 1 (Drosophila),Robo1,19876,19639,RP_080320_02_H06,80923003,100046724_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100053249,"myosin binding protein C, slow-type",Mybpc1,109272,73431,RP_080122_04_B02,79892433,100053249_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042495,metallophosphoesterase domain containing 1,Mpped1,223726,85966,RP_071211_04_F09,79721346,100042495_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100054403,metal response element binding transcription factor 1,Mtf1,17764,17531,RP_071127_02_F01,79599455,100054403_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100046082,"inositol 1,4,5-trisphosphate receptor 1",Itpr1,16438,16211,RP_080225_01_B08,80751993,100046082_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Neurological system process/Ion channel activity/Ligand-gated ion channel activity/Neurotransmitter secretion/Wnt signaling pathway/Inflammation mediated by chemokine and cytokine signaling pathway/PDGF signaling pathway/Calcium-mediated signaling
100047197,netrin G1,Ntng1,80883,56653,RP_080331_03_D05,80954285,100047197_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100045910,"casein kinase 2, beta polypeptide",Csnk2b,13001,12784,RP_071212_03_A11,79843617,100045910_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Parkinson disease/Wnt signaling pathway/Cadherin signaling pathway
100053254,paired-like homeobox 2b,Phox2b,18935,18698,RP_080717_01_A09,80928222,100053254_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100047451,vesicle amine transport protein 1 homolog (T californica),Vat1,26949,26694,RP_080701_02_F01,81096085,100047451_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Huntington disease
100045874,smoothened homolog (Drosophila),Smo,319757,106692,RP_080218_01_A07,80689792,100045874_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,G-protein coupled receptor/Hedgehog signaling pathway
100042374,regulator of G-protein signaling 4,Rgs4,19736,19499,RP_071127_04_B12,79600023,100042374_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Inflammation mediated by chemokine and cytokine signaling pathway
100047386,leucine-rich repeat kinase 2,Lrrk2,66725,42568,RP_080623_04_E09,1001512,100047386_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/MAPKKK cascade/NF-kappaB Cascade
100047009,"phosphatidylinositol-specific phospholipase C, X domain containing 2",Plcxd2,433022,129609,RP_080609_04_G11,81006135,100047009_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046403,early growth response 1,Egr1,13653,13431,RP_080228_03_F09,80754479,100046403_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor
100047452,Eph receptor A5,Epha5,13839,13617,RP_080701_03_G05,81096497,100047452_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046022,"BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)",Bambi,68010,43853,RP_071219_04_G08,80257988,100046022_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100047681,ret proto-oncogene,Ret,19713,19476,RP_081002_01_A11,1002699,100047681_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100049571,tyrosine kinase with immunoglobulin-like and EGF-like domains 1,Tie1,21846,21605,RP_080215_03_B01,80655761,100049571_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100053197,BCL2-like 11 (apoptosis facilitator),Bcl2l11,12125,11911,RP_071219_01_F05,80256784,100053197_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100045814,"protein phosphatase 1, regulatory (inhibitor) subunit 1B",Ppp1r1b,19049,18812,RP_071217_02_B12,80255480,100045814_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100054345,"transcription factor A, mitochondrial",Tfam,21780,21539,RP_071126_03_E03,79537329,100054345_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100046496,glial cell line derived neurotrophic factor family receptor alpha 2,Gfra2,14586,14362,RP_080313_01_C10,80888723,100046496_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100054344,"GA repeat binding protein, beta 1",Gabpb1,14391,14167,RP_071126_03_E09,79537353,100054344_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100042369,claudin 5,Cldn5,12741,12525,RP_071127_04_A10,79599967,100042369_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100049582,wingless-related MMTV integration site 4,Wnt4,22417,22174,RP_081002_02_H02,1002682,100049582_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100053232,"synuclein, gamma",Sncg,20618,20380,RP_080102_04_A06,80259212,100053232_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Neurotransmitter secretion/Parkinson disease/MAPKKK cascade
100049431,ephrin A5,Efna5,13640,13418,RP_081002_02_B09,1002617,100049431_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100049491,frequently rearranged in advanced T cell lymphomas,Frat1,14296,14072,RP_081002_02_C07,1002627,100049491_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Wnt signaling pathway
100046940,cell division cycle 42 homolog (S. cerevisiae),Cdc42,12540,12325,RP_080327_02_B05,80930849,100046940_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Huntington disease/Inflammation mediated by chemokine and cytokine signaling pathway/EGF receptor signaling pathway
100046367,"casein kinase 2, alpha prime polypeptide",Csnk2a2,13000,12783,RP_080218_04_A10,80690912,100046367_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response/Parkinson disease/Wnt signaling pathway/Cadherin signaling pathway/MAPKKK cascade
100047343,trans-acting transcription factor 8,Sp8,320145,107080,RP_080701_02_A11,81095901,100047343_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/Huntington disease
100046052,"periostin, osteoblast specific factor",Postn,50706,30195,RP_080104_02_E11,80568281,100046052_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100047348,leukocyte tyrosine kinase,Ltk,17005,16775,RP_080702_01_B05,81096993,100047348_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046341,"gap junction protein, delta 2",Gjd2,14617,14393,RP_080122_01_C06,79891373,100046341_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047056,astrotactin 2,Astn2,56079,35364,RP_080402_03_C09,80955789,100047056_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100049523,"R-spondin family, member 4",Rspo4,228770,86769,RP_081002_02_G05,1002673,100049523_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046275,galanin,Gal,14419,14195,RP_080215_03_H04,80656057,100046275_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100049483,heparin-binding EGF-like growth factor,Hbegf,15200,14976,RP_081002_02_D06,1002638,100049483_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,EGF receptor signaling pathway
100047167,R-spondin 3 homolog (Xenopus laevis),Rspo3,72780,48621,RP_080324_01_H03,80924143,100047167_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100049430,Eph receptor A2,Epha2,13836,13614,RP_081002_02_B10,1002618,100049430_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100047057,secreted acidic cysteine rich glycoprotein,Sparc,20692,20454,RP_080402_04_D12,80956233,100047057_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046408,hairy/enhancer-of-split related with YRPW motif 1,Hey1,15213,14989,RP_080228_03_H12,80754587,100046408_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor/Notch signaling pathway
100046906,"adrenergic receptor, alpha 2c",Adra2c,11553,11340,RP_080610_01_F04,81006435,100046906_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,G-protein coupled receptor
100047583,-,LOC546316,546316,143363,RP_080619_04_B05,1001093,100047583_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046071,neurogenic differentiation 4,Neurod4,11923,11709,RP_080218_02_A03,80690140,100046071_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Transcription factor
100053188,wingless-related MMTV integration site 5B,Wnt5b,22419,22176,RP_071127_02_H11,79599575,100053188_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway
100049569,mesoderm posterior 2,Mesp2,17293,17062,RP_080228_04_D09,80754763,100049569_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046409,RIKEN cDNA 6330581N18 gene,6330581N18Rik,319453,106388,RP_080303_04_H06,80791606,100046409_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100049482,hypocretin (orexin) receptor 1,Hcrtr1,230777,87114,RP_081002_02_D07,1002639,100049482_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100047022,"glycine receptor, alpha 4 subunit",Glra4,14657,14433,RP_080610_02_E12,81006799,100047022_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100049579,wingless-type MMTV integration site 9B,Wnt9b,22412,22169,RP_081002_02_H05,1002685,100049579_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway
100045988,inhibin beta-A,Inhba,16323,16096,RP_080218_01_F05,80690012,100045988_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100042349,homer homolog 1 (Drosophila),Homer1,26556,26303,RP_071206_03_F04,79692601,100042349_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100046616,otoferlin,Otof,83762,58004,RP_080317_02_F01,80921351,100046616_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100054356,"LAG1 homolog, ceramide synthase 4",Lass4,67260,43103,RP_071126_03_E04,79537333,100054356_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100042474,neogenin,Neo1,18007,17774,RP_071211_01_D02,79708002,100042474_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046846,ecotropic viral integration site 5,Evi5,14020,13797,RP_080609_02_A02,81005051,100046846_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100046921,"glycine receptor, alpha 1 subunit",Glra1,14654,14430,RP_080610_02_E11,81006795,100046921_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100051878,fibroblast growth factor 17,Fgf17,14171,13948,RP_081030_02_E03,1003184,100051878_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/MAPKKK cascade/FGF signaling pathway
100049536,mastermind like 1 (Drosophila),Maml1,103806,67973,RP_081002_02_E10,1002654,100049536_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor/Notch signaling pathway
100046391,neuropeptide Y receptor Y2,Npy2r,18167,17934,RP_080225_04_H03,80753409,100046391_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100045985,"crystallin, mu",Crym,12971,12754,RP_080215_04_F01,80656333,100045985_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100042499,endothelin converting enzyme-like 1,Ecel1,13599,13377,RP_071211_04_H10,79721446,100042499_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process
100047279,SRY-box containing gene 14,Sox14,20669,20431,RP_080630_01_E08,81094217,100047279_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100047058,Ly6/Plaur domain containing 1,Lypd1,72585,48426,RP_080402_04_F05,80956301,100047058_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047586,glutathione peroxidase 3,Gpx3,14778,14554,RP_080619_04_D10,1001121,100047586_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Stress response
100053209,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",Erbb2,13866,13644,RP_071005_05_G11,79280933,100053209_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Cadherin signaling pathway/EGF receptor signaling pathway
100046293,"gamma-aminobutyric acid (GABA) A receptor, subunit delta",Gabrd,14403,14179,RP_080225_01_B10,80752001,100046293_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100047734,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1",Hcn1,15165,14941,RP_080916_04_A11,1002360,100047734_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Ion channel activity/Potassium channel/Ligand-gated ion channel activity/Cyclic nucleotide-gated ion channel
100049567,roundabout homolog 3 (Drosophila),Robo3,19649,19412,RP_080701_01_G02,81095785,100049567_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100049479,hairy/enhancer-of-split related with YRPW motif 2,Hey2,15214,14990,RP_081002_02_D10,1002642,100049479_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Transcription factor/Notch signaling pathway
100053243,"collagen, type IX, alpha 1",Col9a1,12839,12622,RP_080122_02_B01,79891677,100053243_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100047786,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B",Sema5b,20357,20120,RP_080912_02_H06,81188027,100047786_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100046731,"actin, beta",Actb,11461,11250,RP_080306_03_B07,80792462,100046731_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Alzheimer disease presenilin pathway/Wnt signaling pathway/Cadherin signaling pathway/Huntington disease/Inflammation mediated by chemokine and cytokine signaling pathway
100042617,activity regulated cytoskeletal-associated protein,Arc,11838,11625,RP_080104_04_D09,80568993,100042617_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100045929,Wnt inhibitory factor 1,Wif1,24117,23868,RP_080103_04_C10,80260856,100045929_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process/Transcription factor
100051881,angiopoietin-like 3,Angptl3,30924,29914,RP_081030_01_B06,1003224,100051881_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100049578,MAD homolog 4 (Drosophila),Smad4,17128,16898,RP_081016_01_B03,1002994,100049578_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor/TGF-beta signaling pathway/Wnt signaling pathway
100047340,bone morphogenetic protein 10,Bmp10,12154,11940,RP_080630_04_C01,81095221,100047340_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,TGF-beta signaling pathway
100049532,"nuclear receptor subfamily 2, group F, member 1",Nr2f1,13865,13643,RP_081002_02_F05,1002661,100049532_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Transcription factor
100046592,"neurotrophic tyrosine kinase, receptor, type 1",Ntrk1,18211,17978,RP_080317_02_C11,80921247,100046592_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
